Date : 2024-08-05 21:01:00
Directory : c:\Users\utkarsh\Projects\cars
Total : 84 files,  16483 codes, 167 comments, 549 blanks, all 17199 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\utkarsh\Projects\cars\src\lib\cloudinary.ts                           | TypeScript         |          7 |          0 |          2 |          9 |
| c:\Users\utkarsh\Projects\cars\src\lib\cloudinaryImageUploader.ts              | TypeScript         |         38 |          0 |          7 |         45 |
| c:\Users\utkarsh\Projects\cars\src\lib\utils.ts                                | TypeScript         |          5 |          0 |          2 |          7 |
| c:\Users\utkarsh\Projects\cars\src\middleware.ts                               | TypeScript         |         28 |          3 |          8 |         39 |
| c:\Users\utkarsh\Projects\cars\src\services\DeleteJob.ts                       | TypeScript         |         16 |          0 |          3 |         19 |
| c:\Users\utkarsh\Projects\cars\src\services\GetADedicatedJob.ts                | TypeScript         |         17 |          0 |          3 |         20 |
| c:\Users\utkarsh\Projects\cars\src\services\GetLatestJobs.ts                   | TypeScript         |         17 |          1 |          4 |         22 |
| c:\Users\utkarsh\Projects\cars\src\services\logoutUser.ts                      | TypeScript         |         13 |          0 |          1 |         14 |
| c:\Users\utkarsh\Projects\cars\src\types\AddJobSchema.ts                       | TypeScript         |         19 |          0 |          5 |         24 |
| c:\Users\utkarsh\Projects\cars\src\types\CookieSchema.ts                       | TypeScript         |          6 |          0 |          2 |          8 |
| c:\Users\utkarsh\Projects\cars\src\types\SchemaLogin.ts                        | TypeScript         |         13 |          0 |          2 |         15 |
| c:\Users\utkarsh\Projects\cars\src\types\SchemaSignup.ts                       | TypeScript         |         16 |          0 |          2 |         18 |
| c:\Users\utkarsh\Projects\cars\src\types\Search.tsx                            | TypeScript JSX     |          9 |          0 |          2 |         11 |
| c:\Users\utkarsh\Projects\cars\tailwind.config.ts                              | TypeScript         |         78 |          0 |          2 |         80 |
| c:\Users\utkarsh\Projects\cars\tsconfig.json                                   | JSON with Comments |         26 |          0 |          1 |         27 |
| Total                                                                          |                    |     16,483 |        167 |        549 |     17,199 |
+--------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
