"filename", "language", "JavaScript", "JSON with Comments", "TypeScript", "JSON", "TypeScript JSX", "Markdown", "CSS", "JavaScript JSX", "XML", "Prisma", "comment", "blank", "total"
"c:\Users\utkarsh\Projects\cars\src\helpers\VerificationEmail.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 50, 0, 0, 8, 2, 60
"c:\Users\utkarsh\Projects\cars\src\helpers\getCookie.ts", "TypeScript", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 2, 1, 18
"c:\Users\utkarsh\Projects\cars\src\helpers\truncateWords.tsx", "TypeScript JSX", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\utkarsh\Projects\cars\src\hooks\use-outside-click.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 4, 24
"c:\Users\utkarsh\Projects\cars\src\lib\cloudinary.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\utkarsh\Projects\cars\src\lib\cloudinaryImageUploader.ts", "TypeScript", 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 7, 45
"c:\Users\utkarsh\Projects\cars\src\lib\utils.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\utkarsh\Projects\cars\src\middleware.ts", "TypeScript", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 3, 8, 39
"c:\Users\utkarsh\Projects\cars\src\services\DeleteJob.ts", "TypeScript", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19
"c:\Users\utkarsh\Projects\cars\src\services\GetADedicatedJob.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20
"c:\Users\utkarsh\Projects\cars\src\services\GetLatestJobs.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 1, 4, 22
"c:\Users\utkarsh\Projects\cars\src\services\logoutUser.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"c:\Users\utkarsh\Projects\cars\src\types\AddJobSchema.ts", "TypeScript", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 5, 24
"c:\Users\utkarsh\Projects\cars\src\types\CookieSchema.ts", "TypeScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\utkarsh\Projects\cars\src\types\SchemaLogin.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"c:\Users\utkarsh\Projects\cars\src\types\SchemaSignup.ts", "TypeScript", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 2, 18
"c:\Users\utkarsh\Projects\cars\src\types\Search.tsx", "TypeScript JSX", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\utkarsh\Projects\cars\tailwind.config.ts", "TypeScript", 0, 0, 78, 0, 0, 0, 0, 0, 0, 0, 0, 2, 80
"c:\Users\utkarsh\Projects\cars\tsconfig.json", "JSON with Comments", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 27
"Total", "-", 63, 29, 815, 11639, 3744, 23, 79, 50, 2, 39, 167, 549, 17199
